state|county|totpop|totalhouseholds|whitepct|blackpct|asianpct|hispanpct|foreignlangpct|average_household_size|home_own_pct|median_home_value|median_rent|pct_moved_last_two_years|median_income|percent_poor|healthpct|bachelorpct|firstreg|secondreg|thirdreg
"Alabama"|"Baldwin County"|212830|80930|.8620542|.0926467|.0092515|.045628|.1060001|2.59|.7524527|197900|1020|.009|58320|.069|.9003712|.1494197|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Barbour County"|25361|9345|.4680021|.4757699|.0052837|.0435708|.1208154|2.41|.6089888|90700|576|.017|32525|.237|.7858917|.0539017|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Bibb County"|22493|6891|.7678834|.2229138|.0012004|.0257413|.0801138|2.99|.744159|92800|734|.028|47542|.15|.8194105|.04637|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Blount County"|57681|20847|.9545951|.0160885|.0036754|.0926128|.1363881|2.74|.7877872|127800|667|.009|49358|.096|.8851788|.0594997|"Evangelical Protestant"|"Southern Baptist"|"Catholic"
"Alabama"|"Bullock County"|10248|3521|.2189696|.7480484|.004879|.025566|.0850898|2.79|.7111616|70300|654|.032|37785|.257|.8531421|.0514247|"Black Protestant"|"Evangelical Protestant"|"Southern Baptist"
"Alabama"|"Butler County"|19828|6506|.5184587|.453954|.0034799|.0139701|.0702038|3|.6995081|95900|620|.012|40688|.156|.8999395|.0677325|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Calhoun County"|114618|44605|.7366993|.207908|.0088468|.0379696|.098632|2.5|.7006838|118000|716|.009|47255|.133|.8909333|.0725104|"Evangelical Protestant"|"Southern Baptist"|""
"Alabama"|"Chambers County"|33660|13448|.5770351|.3956031|.0111705|.0237671|.0835413|2.46|.6745985|97100|749|.017|42289|.129|.8860071|.067142|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Cherokee County"|25903|10737|.9285411|.0459792|.0024708|.0159441|.0604949|2.39|.7734004|123400|620|.02|41919|.118|.9041038|.0484114|"Evangelical Protestant"|"Southern Baptist"|"United Methodist"
"Alabama"|"Chilton County"|44055|16927|.8361139|.0917263|.0044263|.0784701|.1331744|2.58|.7449636|107300|726|.022|47468|.154|.8635796|.0553853|"Evangelical Protestant"|"Southern Baptist"|""
"Alabama"|"Choctaw County"|12925|5300|.5676596|.4255319|.0013153|.0041006|.0676983|2.4|.8090566|74100|525|.014|35892|.184|.8876595|.0553191|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Clarke County"|24128|9090|.5297165|.4577255|.0043103|.0032742|.065194|2.61|.7009901|112500|555|.016|37404|.174|.8919513|.050315|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Clay County"|13337|5198|.8316713|.1555822|.0015746|.0314164|.0809777|2.52|.754521|107800|535|.018|40845|.147|.880033|.0421384|"Evangelical Protestant"|"Southern Baptist"|"United Methodist"
"Alabama"|"Cleburne County"|14916|5680|.9385895|.0274873|.0002011|.0246045|.0840708|2.6|.7612676|116500|585|.021|44741|.102|.8667203|.0707965|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Coffee County"|51662|19924|.7571909|.1690411|.0144207|.0728388|.1225078|2.56|.6574483|147400|803|.013|55637|.12|.8738918|.1044094|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Colbert County"|54771|21880|.7903635|.1619835|.0047288|.0284275|.082781|2.48|.7219378|120800|697|.014|48065|.118|.9200124|.0820142|"Evangelical Protestant"|"Southern Baptist"|"Church of Christ"
"Alabama"|"Conecuh County"|12394|4553|.5072616|.4775698|.0045183|.0067775|.0606745|2.71|.7610367|81000|536|.021|37837|.127|.8700178|.0584154|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Coosa County"|10757|4032|.6579902|.3360602|0|.0101329|.0404388|2.57|.7924107|84000|589|.025|38990|.081|.885191|.0659106|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Covington County"|37200|14852|.845699|.1348925|.0049462|.0169086|.0737903|2.46|.7447482|97600|612|.012|42189|.14|.8758065|.0698656|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Crenshaw County"|13844|4943|.7135943|.2331696|.0126409|.0079457|.0754117|2.77|.7548048|81000|537|.014|43163|.089|.8975729|.0891361|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Cullman County"|82853|31034|.9511303|.0129506|.0037898|.0435832|.0993929|2.63|.7480828|128600|706|.012|44918|.111|.8797147|.0618083|"Evangelical Protestant"|"Southern Baptist"|""
"Alabama"|"Dale County"|49277|18806|.7235627|.2029344|.0141851|.065142|.1237494|2.55|.600872|112000|730|.013|47214|.133|.8302656|.0821276|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Dallas County"|39149|15910|.2785767|.7073744|.0056706|.0107027|.0747145|2.42|.5934004|83300|643|.013|33845|.226|.8828578|.0588776|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Dekalb County"|71310|26040|.8543542|.0145702|.001206|.1455055|.1811667|2.7|.7153226|106100|628|.011|40440|.159|.8537092|.0522648|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Elmore County"|81144|29708|.7530317|.2150375|.0054101|.0296263|.0908755|2.58|.7325636|166600|892|.015|60891|.09|.8692572|.1126762|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Escambia County"|37057|13089|.6220957|.3205332|.0027525|.0233424|.0702431|2.61|.6832455|99400|616|.011|36275|.164|.7914834|.0569933|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Etowah County"|102748|38942|.7983319|.1589325|.0074357|.038755|.0964009|2.6|.7258744|113700|669|.011|44637|.141|.8873847|.0768774|"Evangelical Protestant"|"Southern Baptist"|"Catholic"
"Alabama"|"Fayette County"|16494|6802|.8529162|.1181036|.004729|.0180065|.0656602|2.38|.7725669|88500|527|.019|39856|.142|.9132412|.0643871|"Evangelical Protestant"|"Southern Baptist"|"Church of Christ"
"Alabama"|"Franklin County"|31466|11048|.8300388|.0440158|.0037183|.1716138|.2205873|2.83|.707911|95000|581|.014|43514|.145|.8773915|.0578084|"Evangelical Protestant"|"Southern Baptist"|"Church of Christ"
"Alabama"|"Geneva County"|26417|10383|.8657304|.0960745|.0043533|.039785|.0892228|2.52|.7200231|100900|625|.016|41732|.165|.8645569|.0537154|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Greene County"|8324|2951|.1728736|.7950504|0|.0174195|.072321|2.8|.6706201|80400|612|.039|24145|.294|.8664104|.0424075|"Evangelical Protestant"|"Black Protestant"|"Southern Baptist"
"Alabama"|"Hale County"|14809|5650|.3953001|.5939631|.0022284|.0002701|.0768452|2.59|.7584071|89300|577|.02|34046|.166|.8914174|.062462|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Henry County"|17133|6630|.7072901|.2664449|.0039689|.0262067|.0719664|2.53|.8333333|118800|627|.017|50017|.109|.8847837|.0729586|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Houston County"|104702|39311|.6909515|.2689251|.0088824|.0332276|.0964643|2.64|.6570426|137600|754|.006|47580|.141|.8870127|.092472|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Jackson County"|51852|20695|.9152203|.0348878|.0044743|.0292949|.0669405|2.47|.7552066|104900|590|.012|41769|.15|.8961853|.067982|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Jefferson County"|659680|261231|.5180815|.4294673|.0158152|.0387415|.1185666|2.47|.6270274|159100|900|.005|53901|.119|.8984478|.1387718|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Lamar County"|13885|5856|.8753331|.1065178|.0012243|.0164926|.0617933|2.34|.7563183|80900|425|.016|38364|.147|.8833994|.0589125|"Evangelical Protestant"|"Southern Baptist"|"Free Will Baptist"
"Alabama"|"Lauderdale County"|92556|38471|.8690522|.1036778|.0064069|.0267514|.0845218|2.35|.6813964|145000|663|.014|48094|.1|.9010437|.1021544|"Evangelical Protestant"|"Southern Baptist"|"Church of Christ"
"Alabama"|"Lawrence County"|33058|12677|.7804163|.105935|.0019662|.0219009|.0712687|2.59|.7766033|110500|551|.013|44886|.139|.902172|.0595922|"Evangelical Protestant"|"Southern Baptist"|"Church of Christ"
"Alabama"|"Lee County"|161152|60237|.703429|.2291005|.0428105|.0367665|.128022|2.58|.6160831|169300|856|.012|51463|.116|.9151981|.1179942|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Limestone County"|94727|32143|.8023372|.1375321|.0138187|.0601729|.1182028|2.86|.7762499|158800|691|.011|59686|.1|.8753048|.1208737|"Evangelical Protestant"|"Southern Baptist"|"Church of Christ"
"Alabama"|"Lowndes County"|10079|4251|.2477428|.7463042|0|.0049608|.0647882|2.35|.7426488|70000|586|.019|30036|.224|.903165|.064689|"Evangelical Protestant"|"Black Protestant"|"Southern Baptist"
"Alabama"|"Macon County"|18708|7474|.1603592|.8317298|.0017105|.0081249|.0680992|2.2|.6548033|80800|641|.016|33370|.181|.9121231|.0755826|"Black Protestant"|"Evangelical Protestant"|"African Methodist Episcopal Zion"
"Alabama"|"Madison County"|362276|148189|.6794047|.2429391|.0263749|.0494871|.124038|2.38|.6683762|186100|857|.007|65449|.09|.903452|.177627|"Evangelical Protestant"|"Southern Baptist"|"Mainline Protestant"
"Alabama"|"Marengo County"|19321|7361|.4575332|.535583|0|.0101444|.0554319|2.59|.7148485|84400|563|.019|33241|.141|.9011438|.0587961|"Evangelical Protestant"|"Southern Baptist"|"Black Protestant"
"Alabama"|"Marion County"|29866|11997|.9287819|.0358267|.0018081|.0260162|.0816313|2.45|.7514378|92800|512|.014|35930|.137|.8983124|.0563517|"Evangelical Protestant"|"Southern Baptist"|"Free Will Baptist"
