student_id|volleyball|math_club|choir|soccer|business|govern
1001|0|0|0|0|0|1
1002|0|0|1|0|1|0
1003|0|0|1|1|0|0
1004|0|1|1|0|1|0
1005|0|0|0|0|1|0
1006|0|0|1|0|0|0
1007|0|0|0|0|1|0
1008|0|0|1|1|1|0
1009|0|1|0|0|1|0
1010|1|0|1|0|1|0
1011|0|1|1|0|1|0
1012|0|0|1|0|1|0
1013|0|0|0|0|0|1
1014|1|0|0|0|1|0
1015|0|0|1|0|0|0
1016|1|0|0|0|0|0
1017|0|0|0|0|1|0
1018|0|0|1|0|1|0
1019|0|0|0|0|0|1
1020|1|1|1|0|1|0
1021|0|0|0|0|0|1
1022|0|0|1|0|1|0
1023|0|1|1|1|1|0
1024|0|1|1|1|1|0
1025|1|1|0|0|1|1
1026|0|1|1|0|1|0
1027|0|1|1|0|0|0
1028|1|0|1|0|1|0
1029|0|0|1|0|0|0
1030|0|0|0|0|1|0
1031|0|1|1|1|1|0
1032|0|0|0|0|0|1
1033|0|1|1|0|0|0
1034|0|1|1|0|1|0
1035|0|1|1|0|1|0
1036|0|1|1|0|0|0
1037|1|1|0|0|0|1
1038|0|1|0|0|1|0
1039|0|1|1|0|0|0
1040|0|0|1|0|1|0
1041|1|0|1|1|1|0
1042|0|0|1|0|0|0
1043|0|1|0|0|1|0
1044|0|0|1|0|1|0
1045|0|0|1|0|1|0
1046|0|1|0|0|1|0
1047|0|0|0|0|1|0
1048|1|0|0|0|1|0
1049|0|0|0|0|1|0
1050|0|1|0|0|0|0
1051|0|1|1|0|1|0
1052|1|0|0|0|1|0
1053|0|0|1|0|1|0
1054|0|0|1|0|1|0
1055|0|1|0|0|1|0
1056|0|1|1|1|1|0
1057|0|0|0|0|1|0
1058|0|0|1|0|1|0
1059|0|0|0|0|0|1
1060|0|1|1|0|1|0
1061|1|0|1|0|1|0
1062|0|1|0|1|0|0
1063|0|0|0|0|1|0
1064|1|0|1|0|1|0
1065|1|0|1|1|1|0
1066|1|1|1|0|0|1
1067|0|1|1|0|1|0
1068|0|0|0|1|0|0
