"V1"|"V2"
"1"|"100009"|"103559"
"2"|"100009"|"103939"
"3"|"100009"|"105235"
"4"|"100009"|"102807"
"5"|"100009"|"100598"
"6"|"100009"|"107630"
"7"|"100009"|"100973"
"8"|"100009"|"109725"
"9"|"100009"|"104383"
"10"|"100009"|"103405"
"11"|"100009"|"101986"
"12"|"100009"|"107556"
"13"|"100009"|"104927"
"14"|"100042"|"109641"
"15"|"100042"|"106412"
"16"|"100042"|"102934"
"17"|"100042"|"107735"
"18"|"100042"|"100953"
"19"|"100042"|"100597"
"20"|"100042"|"109110"
"21"|"100042"|"104679"
"22"|"100042"|"109136"
"23"|"100042"|"102153"
"24"|"100042"|"100895"
"25"|"100042"|"106195"
"26"|"100042"|"102582"
"27"|"100042"|"105795"
"28"|"100042"|"103847"
"29"|"100050"|"100672"
"30"|"100050"|"102525"
"31"|"100050"|"100015"
"32"|"100050"|"101949"
"33"|"100050"|"108555"
"34"|"100052"|"100695"
"35"|"100052"|"106895"
"36"|"100052"|"100547"
"37"|"100052"|"101635"
"38"|"100052"|"100133"
"39"|"100052"|"104943"
"40"|"100052"|"100459"
"41"|"100052"|"104611"
"42"|"100052"|"101571"
"43"|"100052"|"107347"
"44"|"100052"|"101471"
"45"|"100052"|"101420"
"46"|"100052"|"103886"
"47"|"100052"|"108376"
"48"|"100059"|"101992"
"49"|"100059"|"100961"
"50"|"100082"|"100182"
"51"|"100082"|"105314"
"52"|"100082"|"105973"
"53"|"100082"|"105817"
"54"|"100082"|"105993"
"55"|"100082"|"107600"
"56"|"100082"|"106815"
"57"|"100082"|"104112"
"58"|"100100"|"101541"
"59"|"100100"|"101595"
"60"|"100102"|"101571"
"61"|"100102"|"105338"
"62"|"100102"|"105360"
"63"|"100102"|"104611"
"64"|"100102"|"100052"
"65"|"100102"|"100459"
"66"|"100102"|"107764"
"67"|"100102"|"101578"
"68"|"100102"|"107524"
"69"|"100102"|"108461"
"70"|"100102"|"106895"
"71"|"100102"|"100695"
"72"|"100102"|"103886"
"73"|"100102"|"101195"
"74"|"100102"|"104466"
"75"|"100105"|"108934"
"76"|"100105"|"101501"
"77"|"100105"|"108929"
"78"|"100109"|"106628"
"79"|"100109"|"109516"
"80"|"100109"|"102685"
"81"|"100109"|"102582"
"82"|"100109"|"108985"
"83"|"100109"|"103675"
"84"|"100109"|"102934"
"85"|"100109"|"100042"
"86"|"100109"|"107818"
"87"|"100109"|"104500"
"88"|"100109"|"107321"
"89"|"100109"|"105721"
"90"|"100109"|"106014"
"91"|"100109"|"105109"
"92"|"100109"|"100597"
"93"|"100133"|"101452"
"94"|"100133"|"101635"
"95"|"100133"|"108461"
"96"|"100133"|"107261"
"97"|"100133"|"101571"
"98"|"100133"|"105025"
"99"|"100133"|"100695"
"100"|"100133"|"108376"
"101"|"100133"|"101420"
"102"|"100175"|"102386"
"103"|"100175"|"100332"
"104"|"100175"|"100392"
"105"|"100175"|"100268"
"106"|"100177"|"102520"
"107"|"100177"|"103288"
"108"|"100182"|"100082"
"109"|"100182"|"107133"
"110"|"100182"|"102291"
"111"|"100182"|"103288"
"112"|"100182"|"103963"
"113"|"100182"|"105396"
"114"|"100182"|"105314"
"115"|"100182"|"106718"
"116"|"100182"|"101149"
"117"|"100182"|"103149"
"118"|"100182"|"100293"
"119"|"100194"|"104391"
"120"|"100194"|"100266"
"121"|"100194"|"100268"
"122"|"100200"|"100332"
"123"|"100200"|"103503"
"124"|"100200"|"100266"
"125"|"100200"|"100392"
"126"|"100200"|"104391"
"127"|"100203"|"100287"
"128"|"100203"|"100332"
"129"|"100203"|"103659"
"130"|"100212"|"109365"
"131"|"100212"|"106424"
"132"|"100224"|"100441"
"133"|"100224"|"102345"
"134"|"100224"|"100328"
"135"|"100224"|"102074"
"136"|"100224"|"101892"
"137"|"100224"|"102343"
"138"|"100224"|"101974"
"139"|"100224"|"102486"
"140"|"100224"|"102020"
"141"|"100224"|"101978"
"142"|"100224"|"100396"
"143"|"100225"|"103503"
"144"|"100225"|"100332"
"145"|"100225"|"100287"
"146"|"100225"|"104391"
"147"|"100225"|"100268"
"148"|"100242"|"102026"
"149"|"100242"|"102010"
"150"|"100242"|"101949"
"151"|"100242"|"101969"
"152"|"100242"|"101978"
"153"|"100242"|"102067"
"154"|"100242"|"102023"
"155"|"100242"|"102036"
"156"|"100242"|"101889"
"157"|"100242"|"102345"
"158"|"100242"|"102343"
"159"|"100242"|"101974"
"160"|"100242"|"102008"
"161"|"100242"|"102025"
"162"|"100242"|"102020"
"163"|"100243"|"100302"
"164"|"100255"|"106614"
"165"|"100255"|"102856"
"166"|"100255"|"104501"
"167"|"100255"|"102841"
"168"|"100255"|"102291"
"169"|"100255"|"101296"
"170"|"100255"|"102315"
"171"|"100255"|"107742"
"172"|"100255"|"102839"
"173"|"100255"|"109434"
"174"|"100255"|"106567"
"175"|"100255"|"107321"
"176"|"100255"|"109473"
"177"|"100266"|"100299"
"178"|"100266"|"104560"
"179"|"100266"|"104391"
"180"|"100266"|"100360"
"181"|"100266"|"103503"
"182"|"100266"|"101767"
"183"|"100266"|"104020"
"184"|"100266"|"106298"
"185"|"100266"|"100287"
"186"|"100266"|"100302"
"187"|"100266"|"100392"
"188"|"100266"|"102157"
"189"|"100266"|"100268"
"190"|"100266"|"100327"
"191"|"100266"|"102386"
"192"|"100268"|"107803"
"193"|"100268"|"104020"
"194"|"100268"|"100327"
"195"|"100268"|"100423"
"196"|"100268"|"100332"
"197"|"100268"|"103503"
"198"|"100268"|"102157"
"199"|"100268"|"100302"
"200"|"100268"|"103205"
"201"|"100268"|"109093"
"202"|"100268"|"102386"
"203"|"100268"|"100293"
"204"|"100268"|"100200"
"205"|"100268"|"101827"
"206"|"100268"|"100371"
"207"|"100273"|"101969"
"208"|"100273"|"102067"
"209"|"100273"|"100396"
"210"|"100273"|"101891"
"211"|"100273"|"100224"
"212"|"100273"|"102020"
"213"|"100273"|"102346"
"214"|"100273"|"102025"
"215"|"100273"|"102345"
"216"|"100273"|"102026"
"217"|"100273"|"102353"
"218"|"100273"|"101958"
"219"|"100287"|"103503"
"220"|"100287"|"100293"
"221"|"100287"|"106470"
"222"|"100287"|"100393"
"223"|"100287"|"103659"
"224"|"100287"|"100392"
"225"|"100287"|"100175"
"226"|"100287"|"104020"
"227"|"100287"|"100330"
"228"|"100287"|"104916"
"229"|"100287"|"100194"
