empl1|empl2|collaborations|engineer1|engineer2|invent1|invent2
1|650|3|1|0|1|1
1|201|1|1|1|1|1
1|178|1|1|0|1|1
1|71|3|1|0|1|1
1|152|1|1|0|1|1
1|275|1|1|0|1|1
1|816|1|1|0|1|1
1|785|1|1|1|1|1
1|33|3|1|1|1|1
1|640|3|1|1|1|1
1|351|1|1|0|1|1
1|239|1|1|1|1|1
1|39|1|1|1|1|1
1|37|1|1|1|1|1
1|61|1|1|0|1|1
2|332|3|1|0|1|0
2|161|7|1|0|1|1
2|719|1|1|0|1|0
2|281|1|1|0|1|1
2|248|3|1|0|1|1
2|37|1|1|1|1|1
2|254|1|1|1|1|1
2|774|5|1|0|1|1
2|763|1|1|0|1|0
2|676|1|1|1|1|1
2|43|3|1|0|1|0
2|97|5|1|0|1|1
2|590|5|1|0|1|1
2|107|1|1|1|1|1
2|303|5|1|1|1|1
2|232|8|1|0|1|1
2|733|1|1|0|1|0
2|469|7|1|0|1|1
2|80|1|1|1|1|1
2|36|1|1|0|1|1
2|728|5|1|0|1|0
2|401|1|1|0|1|0
2|180|5|1|1|1|1
2|770|10|1|0|1|1
2|759|1|1|1|1|1
2|118|5|1|1|1|0
2|202|1|1|1|1|1
2|239|1|1|1|1|1
2|376|3|1|1|1|1
2|573|8|1|0|1|0
2|626|22|1|0|1|1
2|154|1|1|0|1|0
2|53|3|1|0|1|1
2|521|3|1|1|1|0
2|47|7|1|0|1|1
2|11|3|1|0|1|1
2|472|3|1|1|1|1
2|258|8|1|1|1|1
2|287|8|1|0|1|1
2|249|1|1|0|1|1
2|230|3|1|0|1|1
2|243|7|1|0|1|1
2|669|7|1|0|1|1
2|556|1|1|1|1|1
2|533|1|1|0|1|1
2|158|3|1|0|1|0
2|32|3|1|0|1|0
2|363|1|1|1|1|1
2|123|5|1|1|1|1
2|92|1|1|1|1|0
2|122|3|1|0|1|1
2|827|3|1|0|1|1
2|787|10|1|0|1|1
2|597|3|1|0|1|1
2|59|3|1|0|1|0
2|312|3|1|0|1|1
2|271|14|1|0|1|1
2|105|7|1|0|1|1
2|406|5|1|1|1|0
2|187|3|1|1|1|1
2|153|7|1|0|1|1
2|315|10|1|0|1|1
2|178|1|1|0|1|1
2|507|3|1|0|1|1
2|420|5|1|1|1|1
2|678|3|1|1|1|1
2|696|3|1|1|1|1
2|438|8|1|0|1|1
2|72|1|1|0|1|0
2|310|5|1|0|1|1
2|7|5|1|0|1|1
2|147|1|1|1|1|0
2|540|3|1|0|1|1
2|811|8|1|1|1|1
2|536|3|1|0|1|1
2|578|1|1|0|1|1
2|632|3|1|0|1|1
2|732|5|1|0|1|1
2|130|3|1|0|1|1
2|368|1|1|0|1|0
2|212|1|1|0|1|1
2|274|7|1|0|1|0
2|166|3|1|0|1|1
2|698|1|1|0|1|1
2|87|1|1|1|1|0
2|475|3|1|0|1|1
2|754|1|1|0|1|1
2|337|1|1|0|1|1
2|734|5|1|0|1|0
2|264|3|1|0|1|1
2|197|1|1|0|1|1
2|205|5|1|0|1|0
2|229|1|1|0|1|1
2|289|7|1|0|1|1
2|464|3|1|1|1|0
2|29|3|1|0|1|1
2|778|3|1|0|1|1
2|792|8|1|1|1|1
2|810|1|1|0|1|1
3|93|1|0|0|1|0
3|88|1|0|1|1|0
3|329|1|0|1|1|0
4|161|1|1|0|1|1
4|115|1|1|0|1|1
5|507|1|0|0|1|1
5|132|1|0|1|1|1
5|650|1|0|0|1|1
