"swede1"|"swede2"|"abba"|"deathmetal"
"1"|1|650|1|0
"2"|1|201|1|0
"3"|1|178|1|0
"4"|1|71|1|0
"5"|1|152|1|0
"6"|1|275|1|0
"7"|1|816|1|0
"8"|1|785|1|0
"9"|1|33|1|0
"10"|1|640|1|0
"11"|1|351|1|0
"12"|1|239|1|0
"13"|1|39|1|0
"14"|1|37|1|0
"15"|1|61|1|0
"16"|2|332|1|1
"17"|2|161|1|0
"18"|2|719|1|1
"19"|2|281|1|0
"20"|2|248|1|0
"21"|2|37|1|0
"22"|2|254|1|0
"23"|2|774|1|0
"24"|2|763|1|1
"25"|2|676|1|0
"26"|2|43|1|1
"27"|2|97|1|0
"28"|2|590|1|0
"29"|2|107|1|0
"30"|2|303|1|0
"31"|2|232|1|0
"32"|2|733|1|1
"33"|2|469|1|0
"34"|2|80|1|0
"35"|2|36|1|0
"36"|2|728|1|1
"37"|2|401|1|1
"38"|2|180|1|0
"39"|2|770|1|0
"40"|2|759|1|0
"41"|2|118|1|1
"42"|2|202|1|0
"43"|2|239|1|0
"44"|2|376|1|0
"45"|2|573|1|1
"46"|2|626|1|0
"47"|2|154|1|1
"48"|2|53|1|0
"49"|2|521|1|1
"50"|2|47|1|0
"51"|2|11|1|0
"52"|2|472|1|0
"53"|2|258|1|0
"54"|2|287|1|0
"55"|2|249|1|0
"56"|2|230|1|0
"57"|2|243|1|0
"58"|2|669|1|0
"59"|2|556|1|0
"60"|2|533|1|0
"61"|2|158|1|1
"62"|2|32|1|1
"63"|2|363|1|0
"64"|2|123|1|0
"65"|2|92|1|1
"66"|2|122|1|0
"67"|2|827|1|0
"68"|2|787|1|0
"69"|2|597|1|0
"70"|2|59|1|1
"71"|2|312|1|0
"72"|2|271|1|0
"73"|2|105|1|0
"74"|2|406|1|1
"75"|2|187|1|0
"76"|2|153|1|0
"77"|2|315|1|0
"78"|2|178|1|0
"79"|2|507|1|0
"80"|2|420|1|0
"81"|2|678|1|0
"82"|2|696|1|0
"83"|2|438|1|0
"84"|2|72|1|1
"85"|2|310|1|0
"86"|2|7|1|0
"87"|2|147|1|1
"88"|2|540|1|0
"89"|2|811|1|0
"90"|2|536|1|0
"91"|2|578|1|0
"92"|2|632|1|0
"93"|2|732|1|0
"94"|2|130|1|0
"95"|2|368|1|1
"96"|2|212|1|0
"97"|2|274|1|1
"98"|2|166|1|0
"99"|2|698|1|0
"100"|2|87|1|1
"101"|2|475|1|0
"102"|2|754|1|0
"103"|2|337|1|0
"104"|2|734|1|1
"105"|2|264|1|0
"106"|2|197|1|0
"107"|2|205|1|1
"108"|2|229|1|0
"109"|2|289|1|0
"110"|2|464|1|1
"111"|2|29|1|0
"112"|2|778|1|0
"113"|2|792|1|0
"114"|2|810|1|0
"115"|3|93|1|1
"116"|3|88|1|1
"117"|3|329|1|1
"118"|4|161|1|0
"119"|4|115|1|0
"120"|5|507|1|0
"121"|5|132|1|0
"122"|5|650|1|0
"123"|5|467|1|0
"124"|5|611|1|0
"125"|5|362|1|1
"126"|5|239|1|0
"127"|5|696|1|0
"128"|5|471|1|0
"129"|6|90|0|1
"130"|6|161|0|0
"131"|6|95|0|1
"132"|7|46|1|0
"133"|7|310|1|0
"134"|7|663|1|0
"135"|7|286|1|0
"136"|7|810|1|0
"137"|7|774|1|0
"138"|7|66|1|0
"139"|7|811|1|0
"140"|7|73|1|0
"141"|7|105|1|0
"142"|7|27|1|1
"143"|7|186|1|1
"144"|7|122|1|0
"145"|7|123|1|0
"146"|7|36|1|0
"147"|7|803|1|0
"148"|7|80|1|0
"149"|7|827|1|0
"150"|7|180|1|0
"151"|7|315|1|0
"152"|7|783|1|0
"153"|7|536|1|0
"154"|7|230|1|0
"155"|7|212|1|0
"156"|7|258|1|0
"157"|7|53|1|0
"158"|7|761|1|0
"159"|7|287|1|0
"160"|7|81|1|0
"161"|7|556|1|0
"162"|7|59|1|1
"163"|7|687|1|0
"164"|7|406|1|1
"165"|7|475|1|0
"166"|7|282|1|0
"167"|7|239|1|0
"168"|7|473|1|0
"169"|7|154|1|1
"170"|7|332|1|1
"171"|7|97|1|0
"172"|7|25|1|0
"173"|7|161|1|0
"174"|7|420|1|0
"175"|7|254|1|0
"176"|7|462|1|0
"177"|7|770|1|0
"178"|7|153|1|0
"179"|7|368|1|1
"180"|7|60|1|1
"181"|7|199|1|1
"182"|7|312|1|0
"183"|7|505|1|0
"184"|7|564|1|0
"185"|7|158|1|1
"186"|7|469|1|0
"187"|7|221|1|0
"188"|7|700|1|0
"189"|7|626|1|0
"190"|7|289|1|0
"191"|7|121|1|0
"192"|7|632|1|0
"193"|7|205|1|1
"194"|7|248|1|0
"195"|7|778|1|0
"196"|7|72|1|1
"197"|7|187|1|0
"198"|7|166|1|0
"199"|7|685|1|1
"200"|7|130|1|0
"201"|7|263|1|0
"202"|7|274|1|1
"203"|7|47|1|0
"204"|7|696|1|0
"205"|7|337|1|0
"206"|7|2|1|0
"207"|7|464|1|1
"208"|7|438|1|0
"209"|7|767|1|1
"210"|7|540|1|0
"211"|7|298|1|0
"212"|8|197|0|0
"213"|9|190|1|0
"214"|9|244|1|0
"215"|9|362|1|1
"216"|9|197|1|0
"217"|9|609|1|0
"218"|9|132|1|0
"219"|10|167|1|0
"220"|10|788|1|0
"221"|11|288|1|1
"222"|11|626|1|0
"223"|11|2|1|0
"224"|11|137|1|1
"225"|11|176|1|0
"226"|11|132|1|0
"227"|11|507|1|0
"228"|11|174|1|1
"229"|11|562|1|0
"230"|11|578|1|0
"231"|11|139|1|1
"232"|11|678|1|0
"233"|11|122|1|0
"234"|11|799|1|0
"235"|12|13|0|1
"236"|12|207|0|0
"237"|12|103|0|0
"238"|12|194|0|0
"239"|12|220|0|1
"240"|12|20|0|1
"241"|12|16|0|0
"242"|13|15|0|0
"243"|13|12|0|1
"244"|13|21|0|1
"245"|13|194|0|0
"246"|13|207|0|0
"247"|13|120|0|0
"248"|13|291|0|1
"249"|13|19|0|0
"250"|13|14|0|0
"251"|14|21|1|1
"252"|14|15|1|0
"253"|14|120|1|0
"254"|14|13|1|1
"255"|14|207|1|0
"256"|14|291|1|1
"257"|14|17|1|0
"258"|14|194|1|0
"259"|14|277|1|1
"260"|15|17|1|0
"261"|15|76|1|0
"262"|15|194|1|0
"263"|15|13|1|1
"264"|15|21|1|1
"265"|15|19|1|0
"266"|15|120|1|0
"267"|15|14|1|0
"268"|16|12|1|1
"269"|16|194|1|0
"270"|16|220|1|1
"271"|17|15|1|0
"272"|17|14|1|0
"273"|17|21|1|1
"274"|17|120|1|0
"275"|18|82|0|0
"276"|18|372|0|1
"277"|18|120|0|0
"278"|18|197|0|0
"279"|18|23|0|1
"280"|18|76|0|0
"281"|19|21|1|1
"282"|19|103|1|0
"283"|19|194|1|0
"284"|19|24|1|1
"285"|19|15|1|0
"286"|19|13|1|1
"287"|19|207|1|0
"288"|19|20|1|1
"289"|20|19|0|0
"290"|20|12|0|1
"291"|20|220|0|1
"292"|21|15|0|0
"293"|21|120|0|0
"294"|21|220|0|1
"295"|21|207|0|0
"296"|21|17|0|0
"297"|21|277|0|1
"298"|21|194|0|0
"299"|21|13|0|1
"300"|21|14|0|0
"301"|21|19|0|0
"302"|22|194|1|0
"303"|23|76|0|0
"304"|23|336|0|0
"305"|23|82|0|0
"306"|23|372|0|1
"307"|23|149|0|0
"308"|23|609|0|0
"309"|23|678|0|0
"310"|23|18|0|1
"311"|23|120|0|0
"312"|24|19|0|0
"313"|24|194|0|0
"314"|25|66|1|0
"315"|25|271|1|0
"316"|25|564|1|0
"317"|25|338|1|0
"318"|25|759|1|0
"319"|25|26|1|1
"320"|25|7|1|0
"321"|26|25|0|0
"322"|26|187|0|0
"323"|26|564|0|0
"324"|27|306|0|1
"325"|27|338|0|0
"326"|27|122|0|0
"327"|27|734|0|1
"328"|27|199|0|1
"329"|27|540|0|0
"330"|27|811|0|0
"331"|27|160|0|1
"332"|27|542|0|0
"333"|27|162|0|0
"334"|27|46|0|0
"335"|27|47|0|0
"336"|27|97|0|0
"337"|27|7|0|0
"338"|27|248|0|0
"339"|27|72|0|1
"340"|27|130|0|0
"341"|27|564|0|0
"342"|27|803|0|0
"343"|27|69|0|0
"344"|27|221|0|0
"345"|27|332|0|1
"346"|27|626|0|0
"347"|27|180|0|0
"348"|27|759|0|0
"349"|28|142|0|0
"350"|28|244|0|0
"351"|28|560|0|0
"352"|28|270|0|0
"353"|28|283|0|0
"354"|28|346|0|0
"355"|28|341|0|1
"356"|28|296|0|1
"357"|28|252|0|0
"358"|28|245|0|0
"359"|28|285|0|0
"360"|29|2|1|0
"361"|29|545|1|0
"362"|29|110|1|0
"363"|29|712|1|0
"364"|29|312|1|0
"365"|29|449|1|0
"366"|29|121|1|0
"367"|29|232|1|0
"368"|29|155|1|1
"369"|29|294|1|1
"370"|29|330|1|0
"371"|29|536|1|0
"372"|29|97|1|0
"373"|29|344|1|1
"374"|29|274|1|1
"375"|29|147|1|1
"376"|29|314|1|0
"377"|29|811|1|0
"378"|29|287|1|0
"379"|29|204|1|0
"380"|29|590|1|0
"381"|29|53|1|0
"382"|29|243|1|0
"383"|29|363|1|0
"384"|29|196|1|0
"385"|29|231|1|1
"386"|29|744|1|1
"387"|29|376|1|0
"388"|29|507|1|0
"389"|29|186|1|1
"390"|29|315|1|0
"391"|29|719|1|1
"392"|29|626|1|0
"393"|29|469|1|0
"394"|29|420|1|0
"395"|29|521|1|1
"396"|29|333|1|0
"397"|29|728|1|1
"398"|29|669|1|0
"399"|29|162|1|0
"400"|29|122|1|0
"401"|29|271|1|0
"402"|29|365|1|0
"403"|29|119|1|0
"404"|29|533|1|0
"405"|29|248|1|0
"406"|29|69|1|0
"407"|29|167|1|0
"408"|29|124|1|0
"409"|29|549|1|1
"410"|29|221|1|0
"411"|29|632|1|0
"412"|29|607|1|0
"413"|29|310|1|0
"414"|29|123|1|0
"415"|29|818|1|1
"416"|29|169|1|0
"417"|29|32|1|1
"418"|29|732|1|0
"419"|29|754|1|0
"420"|29|47|1|0
"421"|29|180|1|0
"422"|29|700|1|0
"423"|29|540|1|0
"424"|29|678|1|0
"425"|29|332|1|1
"426"|29|827|1|0
"427"|29|481|1|0
"428"|29|104|1|0
"429"|29|322|1|1
"430"|29|67|1|1
"431"|30|341|1|1
"432"|30|679|1|1
"433"|31|35|1|1
"434"|31|679|1|1
"435"|31|252|1|0
"436"|31|341|1|1
"437"|31|247|1|0
"438"|32|332|0|1
"439"|32|29|0|0
"440"|32|540|0|0
"441"|32|247|0|0
"442"|32|97|0|0
"443"|32|147|0|1
"444"|32|35|0|1
"445"|32|243|0|0
"446"|32|2|0|0
"447"|32|626|0|0
"448"|32|754|0|0
"449"|33|152|1|0
"450"|33|633|1|0
"451"|33|37|1|0
"452"|33|224|1|1
"453"|33|300|1|1
"454"|33|70|1|1
"455"|33|362|1|1
"456"|33|132|1|0
"457"|33|61|1|0
"458"|33|1|1|0
"459"|33|39|1|0
"460"|33|38|1|0
"461"|33|640|1|0
"462"|33|659|1|0
"463"|33|312|1|0
"464"|33|756|1|0
"465"|33|239|1|0
"466"|33|351|1|0
"467"|33|721|1|0
"468"|33|275|1|0
"469"|33|113|1|1
"470"|33|335|1|1
"471"|33|163|1|0
"472"|34|312|1|0
"473"|34|239|1|0
"474"|35|32|0|1
"475"|35|349|0|1
"476"|35|31|0|0
"477"|35|754|0|0
"478"|36|333|1|0
"479"|36|297|1|0
"480"|36|145|1|0
"481"|36|827|1|0
"482"|36|803|1|0
"483"|36|59|1|1
"484"|36|186|1|1
"485"|36|117|1|1
"486"|36|545|1|0
"487"|36|810|1|0
"488"|36|130|1|0
"489"|36|315|1|0
"490"|36|106|1|0
"491"|36|424|1|0
"492"|36|238|1|0
"493"|36|314|1|0
"494"|36|39|1|0
"495"|36|243|1|0
"496"|36|271|1|0
"497"|36|475|1|0
"498"|36|376|1|0
"499"|36|167|1|0
"500"|36|118|1|1
"501"|36|365|1|0
"502"|36|183|1|1
"503"|36|215|1|0
"504"|36|38|1|0
"505"|36|265|1|0
"506"|36|248|1|0
"507"|36|2|1|0
"508"|36|239|1|0
"509"|36|330|1|0
"510"|36|69|1|0
"511"|36|344|1|1
"512"|36|299|1|0
"513"|36|449|1|0
"514"|36|122|1|0
"515"|36|247|1|0
"516"|36|680|1|1
"517"|36|119|1|0
"518"|36|7|1|0
"519"|36|316|1|0
"520"|36|437|1|0
"521"|36|632|1|0
"522"|36|162|1|0
"523"|36|322|1|1
"524"|36|521|1|1
"525"|36|644|1|1
"526"|36|234|1|0
"527"|36|282|1|0
"528"|36|53|1|0
"529"|36|37|1|0
"530"|36|225|1|0
"531"|36|123|1|0
"532"|36|155|1|1
"533"|36|650|1|0
"534"|36|431|1|0
"535"|36|814|1|0
"536"|36|232|1|0
"537"|36|337|1|0
"538"|36|312|1|0
"539"|36|180|1|0
"540"|36|700|1|0
"541"|36|540|1|0
"542"|36|742|1|0
"543"|36|678|1|0
"544"|36|44|1|1
"545"|36|719|1|1
"546"|36|420|1|0
"547"|36|705|1|0
"548"|36|202|1|0
"549"|36|759|1|0
"550"|36|124|1|0
"551"|36|787|1|0
"552"|36|81|1|0
"553"|36|369|1|0
"554"|36|469|1|0
"555"|36|331|1|0
